Query 1: [-112.586, 35.2022, -105.018, 35.8721]	Intersections (7) : 	[7656, 7080, 8371, 5042, 7944, 2712, 2527]
Query 2: [-97.1399, 38.5456, -84.4145, 38.944]	Intersections (101) : 	[6493, 1051, 8475, 7924, 9987, 4656, 8865, 8910, 8367, 5597, 1619, 3185, 5304, 2249, 7923, 6073, 6294, 2117, 764, 4073, 7501, 3508, 420, 1600, 4990, 7770, 5037, 6714, 1006, 4978, 1277, 1044, 3107, 151, 3999, 3364, 3325, 8842, 6147, 9349, 3507, 5030, 8019, 1980, 9974, 2708, 2294, 1018, 8090, 7430, 666, 2008, 3845, 8594, 1506, 3882, 6256, 2359, 8335, 6442, 7899, 7108, 3140, 2864, 5292, 5592, 3394, 3044, 5792, 6374, 5898, 4734, 5872, 6389, 6571, 164, 9362, 83, 4727, 5562, 9919, 5499, 8747, 2108, 8415, 3174, 4606, 532, 5916, 3048, 3430, 8207, 9303, 475, 6902, 8970, 1440, 6530, 8086, 2738, 817]
Query 3: [-90.1898, 33.5079, -85.2339, 34.5309]	Intersections (98) : 	[6607, 7600, 240, 2662, 4127, 9233, 1920, 6845, 926, 2385, 2070, 2428, 7964, 9888, 9338, 6900, 3801, 7984, 5842, 8323, 1484, 2735, 6230, 2424, 3533, 792, 1304, 402, 5470, 4880, 9268, 7593, 463, 4394, 7410, 3627, 5523, 4379, 4685, 2467, 3705, 6151, 1014, 6765, 7866, 6710, 1595, 7197, 720, 9603, 8102, 1915, 5696, 1342, 6611, 8312, 5290, 8036, 210, 3371, 9039, 2308, 486, 5749, 6975, 1500, 382, 5114, 8197, 5111, 702, 6999, 4158, 4027, 6727, 3075, 5440, 7828, 8863, 125, 4058, 7562, 6027, 1088, 7759, 954, 9591, 4406, 6921, 4587, 9641, 8771, 5241, 6198, 3823, 2136, 6783, 8283]
Query 4: [-116.766, 38.6892, -79.8422, 38.8265]	Intersections (44) : 	[1987, 3180, 7924, 4372, 8865, 1131, 3712, 7923, 2117, 3077, 7501, 2272, 4978, 1277, 1044, 3107, 3325, 6147, 5030, 5595, 4225, 8090, 7011, 8594, 2359, 8335, 6324, 6374, 4734, 8928, 83, 5562, 877, 9919, 5902, 2351, 2108, 3174, 6285, 1732, 532, 3048, 6902, 8086]
Query 5: [-107.277, 39.1459, -101.596, 40.0384]	Intersections (56) : 	[1470, 4004, 6163, 5979, 5357, 2791, 60, 7712, 2903, 1688, 3803, 2963, 8794, 4732, 3650, 5157, 1728, 5202, 73, 3317, 6314, 5572, 6664, 1283, 9228, 5901, 9713, 2149, 1530, 1952, 9867, 5607, 7504, 9470, 6566, 6585, 152, 1364, 5864, 2497, 8044, 3056, 5043, 181, 2468, 7067, 8779, 8082, 7937, 393, 861, 2718, 1422, 8671, 1136, 1795]
Query 6: [-101.283, 41.0662, -96.1388, 42.0517]	Intersections (39) : 	[8515, 2102, 4704, 8884, 4714, 3549, 2696, 7761, 9515, 5771, 7546, 1508, 1046, 6531, 2788, 1531, 4919, 897, 3585, 7647, 8018, 5110, 8477, 3730, 4521, 1591, 3619, 9960, 869, 2084, 9582, 6721, 5581, 579, 9078, 514, 1592, 2982, 1673]
Query 7: [-84.2202, 35.6933, -79.478, 36.7624]	Intersections (146) : 	[1812, 4677, 6116, 9006, 9602, 7463, 7658, 4790, 8698, 2685, 7247, 456, 8605, 5059, 3748, 7570, 1784, 874, 1299, 5591, 2027, 908, 4020, 8728, 2144, 4731, 6308, 8667, 8427, 2523, 2354, 8395, 8243, 4509, 8050, 373, 1375, 2417, 7099, 4557, 7155, 8633, 6615, 336, 5298, 4348, 1571, 1473, 7132, 5162, 9110, 3939, 9484, 7493, 778, 3414, 6404, 6561, 4617, 9406, 5684, 3224, 1029, 765, 6416, 1441, 4446, 3233, 3532, 4813, 8560, 6096, 4041, 7799, 2938, 4840, 2803, 9663, 8542, 4574, 4126, 9961, 3256, 7993, 1809, 7637, 374, 1474, 478, 241, 5892, 9037, 9032, 4021, 2442, 2404, 1629, 609, 8509, 2914, 622, 1340, 9443, 9405, 8565, 6044, 2053, 2695, 9215, 2219, 9609, 2645, 7054, 5337, 6602, 2515, 7834, 6573, 7578, 6344, 8828, 3565, 1217, 2724, 6532, 1125, 7326, 2263, 3780, 5648, 4826, 8955, 7446, 2118, 2178, 2881, 2632, 5260, 6549, 6941, 1256, 9826, 5742, 6434, 7215, 7386]
Query 8: [-115.599, 33.2268, -110.132, 34.1542]	Intersections (40) : 	[2343, 9804, 3604, 5469, 2966, 2157, 6762, 424, 6807, 6817, 8637, 3718, 7670, 9347, 529, 372, 5782, 949, 3670, 8149, 9542, 997, 7176, 3833, 9391, 9657, 555, 7565, 2740, 1774, 3355, 461, 7246, 9869, 8957, 2852, 8133, 3231, 6541, 5957]
Query 9: [-112.925, 40.188, -101.185, 40.6198]	Intersections (28) : 	[1792, 2032, 3069, 4178, 8692, 2870, 7539, 6331, 6017, 3172, 2016, 5896, 3253, 2250, 234, 7564, 6497, 9126, 3255, 3193, 2779, 4050, 6446, 5024, 4584, 4360, 9734, 4703]
Query 10: [-105.906, 39.3459, -86.3153, 39.6047]	Intersections (75) : 	[713, 2330, 6081, 6772, 8717, 5594, 1768, 5584, 2969, 4004, 3666, 3631, 6282, 9690, 1150, 6780, 7412, 8484, 9262, 3346, 2791, 718, 9046, 3733, 7406, 8004, 7333, 5757, 138, 4416, 5459, 7389, 2322, 9229, 5913, 5676, 1688, 8882, 6957, 9184, 1710, 7652, 7849, 760, 3650, 3246, 559, 9639, 684, 6248, 9966, 3879, 2039, 8755, 6314, 8573, 9699, 288, 6784, 2829, 8112, 6824, 5607, 8723, 1919, 5236, 7936, 6049, 5864, 2076, 9787, 7403, 6084, 6610, 3762]
Query 11: [-106.722, 40.7024, -101.309, 41.6392]	Intersections (8) : 	[551, 4159, 4033, 9995, 7306, 6980, 4029, 5021]
Query 12: [-110.146, 37.8276, -103.464, 38.5863]	Intersections (16) : 	[6833, 5593, 8893, 7470, 7811, 3594, 4510, 6150, 6677, 3524, 5027, 8272, 21, 7921, 2261, 9279]
Query 13: [-96.3163, 35.1401, -92.2066, 36.3738]	Intersections (103) : 	[3797, 7459, 9669, 6565, 4600, 7915, 6090, 567, 534, 4102, 1126, 635, 4486, 1380, 6412, 2514, 99, 7610, 675, 9157, 9759, 352, 5041, 5098, 3854, 9002, 1003, 8537, 4755, 6990, 3393, 1714, 4189, 7021, 5675, 5045, 2574, 9779, 4971, 8362, 7391, 4730, 2052, 9644, 5873, 3997, 2300, 7729, 511, 4828, 8507, 2128, 8046, 2367, 6319, 5414, 5914, 5600, 22, 3463, 6454, 517, 8397, 7031, 8591, 4141, 2578, 1651, 6587, 5099, 7731, 3135, 2782, 9294, 452, 9466, 7825, 7272, 1022, 6382, 6247, 8089, 9238, 390, 71, 7721, 4525, 9454, 7644, 8880, 3170, 2484, 1783, 2281, 8707, 5738, 4203, 768, 5247, 1436, 6680, 3936, 3794]
Query 14: [-96.7639, 36.4774, -92.5539, 37.6816]	Intersections (91) : 	[5120, 4234, 9416, 6668, 1890, 4846, 8071, 5234, 5201, 4282, 4569, 9559, 7738, 6660, 5366, 2059, 118, 5804, 1122, 1341, 4623, 9050, 5494, 6940, 9982, 6805, 6398, 9054, 1550, 2353, 8163, 2539, 819, 5885, 1105, 2878, 8947, 7420, 8683, 7026, 5822, 5305, 6405, 7419, 9565, 5253, 7320, 7638, 2363, 3156, 9590, 9287, 1542, 4884, 1075, 3281, 1621, 6584, 5203, 8799, 6930, 8676, 833, 2115, 3182, 4249, 4657, 8231, 8161, 1709, 9861, 6551, 1275, 9513, 9538, 8000, 190, 3953, 3123, 1706, 1731, 8245, 403, 8251, 1587, 2326, 8442, 9187, 2086, 5052, 7559]
Query 15: [-113.364, 40.1344, -107.316, 40.9727]	Intersections (23) : 	[1792, 2032, 8976, 3069, 8692, 6331, 5896, 3253, 234, 7564, 1639, 6497, 3251, 3193, 2779, 4050, 5024, 5212, 9734, 4703, 4559, 3761, 9698]
Query 16: [-98.3043, 33.5981, -94.212, 34.8371]	Intersections (54) : 	[8034, 4144, 1392, 2597, 7751, 182, 5090, 5587, 2174, 1354, 5168, 8805, 9132, 8617, 8672, 3093, 2007, 5377, 3572, 1376, 7078, 7195, 4636, 3709, 8184, 7743, 5365, 7479, 3413, 4146, 4099, 8766, 9284, 5363, 5255, 9521, 1572, 6970, 2530, 7678, 1067, 7918, 1004, 2163, 9809, 2828, 4567, 7022, 4992, 9141, 5556, 3173, 8579, 1845]
Query 17: [-90.3762, 33.0954, -82.3626, 33.7281]	Intersections (104) : 	[7295, 3333, 4151, 8033, 2471, 503, 1468, 7214, 2758, 3474, 3131, 31, 800, 9210, 7541, 1292, 2385, 2428, 565, 9120, 7429, 1278, 7372, 2735, 1432, 2424, 7593, 7664, 3627, 1444, 4379, 6534, 1703, 8607, 8716, 3752, 6710, 4497, 9603, 7642, 6061, 5696, 6611, 5290, 6229, 210, 9334, 1500, 6563, 6826, 6811, 2845, 726, 702, 5598, 5602, 2270, 6727, 400, 6122, 9423, 5440, 2517, 952, 4928, 5158, 1038, 1615, 3443, 1758, 8979, 1269, 8422, 3311, 101, 3588, 2350, 9591, 4578, 4347, 1134, 5644, 8949, 9816, 4587, 6678, 5819, 9884, 1517, 5051, 917, 2136, 6104, 5232, 5000, 6420, 2687, 1140, 5230, 3667, 6301, 3992, 1960, 6643]
